name, version, version_created, version_downloads, homepage, dependencies
rubycat, 0.2.0, 2015-07-01, 2884, https://github.com/textkit/rubycat, catalogdb | fetcher | sqlite3
catalogdb, 0.1.1, 2015-06-30, 3201, https://github.com/textkit/catalog.db, activerecord | logutils | logutils-activerecord | props | props-activerecord | textutils
worlddb-compat, 0.1.1, 2015-06-04, 3001, https://github.com/worlddb/world.db.compat, worlddb-models
dataman, 0.1.0, 2015-04-10, 3137, https://github.com/textkit/dataman, 
bookfile, 0.2.1, 2015-04-02, 3378, https://github.com/hybook/bookfile, fetcher | hybook | logutils | props | rubyzip | textutils
bookman, 0.1.0, 2015-04-02, 3317, https://github.com/hybook/bookman, bookfile | fetcher | hybook | rubyzip
hybook, 0.2.1, 2015-04-02, 3069, https://github.com/hybook/hybook, activesupport | gli | logutils | markdown | props | textutils
fetcher, 0.4.5, 2015-03-31, 99747, https://github.com/rubylibs/fetcher, logutils
logutils-activerecord, 0.2.1, 2015-02-28, 94590, https://github.com/rubylibs/logutils-activerecord, activerecord | logutils
schemadoc, 1.1.0, 2015-02-16, 3577, https://github.com/rubylibs/schemadoc, fetcher | logutils
pluto-tasks, 1.5.3, 2015-02-09, 87586, https://github.com/feedreader/pluto.tasks, pluto-models | pluto-update
dbbrowser, 0.2.0, 2015-02-04, 3421, https://github.com/rubylibs/dbbrowser, activerecord | activerecord-utils | sinatra | textutils
feedfilter, 1.1.1, 2015-01-18, 88411, https://github.com/feedreader/feed.filter, textutils
pluto-admin, 1.0.0, 2015-01-18, 3001, https://github.com/feedreader/pluto.admin, pluto-models | sinatra
preproc, 0.1.0, 2015-01-09, 5910, https://github.com/rubylibs/preproc, fetcher | logutils
feedutils, 0.5.1, 2015-01-06, 3156, https://github.com/rubylibs/feedutils, logutils
pluto-merge, 1.1.0, 2014-12-13, 87730, https://github.com/feedreader/pluto-merge, fetcher | pakman | pluto-models
markdown, 1.2.0, 2014-12-06, 86815, https://github.com/rubylibs/markdown, kramdown | props | textutils
markdown-service, 1.2.0, 2014-12-06, 3072, https://github.com/rubylibs/markdown-service, markdown | sinatra
markdown-tools, 1.2.0, 2014-12-06, 3043, https://github.com/rubylibs/markdown-tools, markdown | markdown-service
logutils-admin, 0.1.0, 2014-12-05, 3019, https://github.com/rubylibs/logutils-admin, activerecord | logutils | logutils-activerecord | sinatra
persondb, 0.4.0, 2014-12-05, 3285, https://github.com/persondb/person.db.ruby, activerecord | activerecord-utils | logutils | props | tagutils | textutils | worlddb-models
logutils, 0.6.1, 2014-12-04, 198468, https://github.com/rubylibs/logutils, 
sportdb-update, 0.1.1, 2014-11-22, 5034, https://github.com/sportdb/sport.db.update.ruby, 
beerdb-admin, 0.1.2, 2014-11-13, 3568, https://github.com/beerkit/beer.db.admin, 
beerdb-service, 0.0.1, 2014-10-13, 3582, https://github.com/beerkit/beer.db.service.ruby, 
worldlite, 0.0.4, 2014-08-21, 3391, https://github.com/worlddb/world.lite.ruby, 
sportdb-keys, 0.0.1, 2014-08-10, 3576, https://github.com/sportdb/sport.db.keys.ruby, 
racingdb, 0.0.1, 2014-07-31, 3106, https://github.com/sportdb/racing.db.ruby, 
footballdb, 0.0.1, 2014-07-30, 3380, https://github.com/sportdb/football.db.stats, 
sportdb-play, 0.2.5, 2014-07-16, 3558, https://github.com/openbookie/sport.db.play, 
linkto, 0.1.1, 2014-03-16, 3242, https://github.com/rubylibs/linkto, logutils
winedb, 0.1.6, 2014-03-06, 3383, https://github.com/geraldb/wine.db.ruby, activerecord | gli | persondb | worlddb
sportdb-market, 0.5.1, 2014-02-18, 3820, https://github.com/openbookie/sport.db.market, 
upman, 0.0.1, 2013-10-30, 3379, https://github.com/webstart/upman, 
about, 0.1.0, 2013-10-12, 7071, https://github.com/rubylibs/about, logutils | textutils
worlddb-admin, 0.1.1, 2013-08-18, 3978, https://github.com/geraldb/world.db.admin, 
beerdb-labels, 0.1.0, 2013-08-10, 4126, https://github.com/geraldb/beer.db.labels, 
sportdb-logos, 0.1.0, 2013-08-10, 3428, https://github.com/geraldb/sport.db.logos, 
worlddb-flags, 0.1.0, 2013-03-13, 4324, https://github.com/geraldb/world.db.flags, 
worlddb-service, 0.1.0, 2013-03-03, 3578, https://github.com/geraldb/world.db.api, sinatra
activerecord-importer, 0.3.1, 2012-12-05, 7698, https://github.com/geraldb/activerecord-importer, activerecord-import
manman, 0.2.0, 2012-10-25, 3722, http://geraldb.github.com/manman, 
hellohoe, 0.3, 2012-10-20, 3921, https://github.com/geraldb/hellohoe, 
ostructer, 0.1, 2011-09-11, 4062, http://github.com/geraldb/ostructer, xml-simple
